SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
7820,2186,0.000443532122941,Tasiusaq,Nuuk,GRL,GRL,73.36667,-56.06667,64.16667,-51.73333,2,0.95,1.37,32.67,32.31
5241,5439,0.000589954122763,Murmansk,Finnsnes,RUS,NOR,68.96667,33.08333,69.23333,17.96667,4,3.37,5.19,6.55,10.3
1301,3034,8.83729629179e-05,Narsaq,Siglufjordur,GRL,ISL,60.9,-45.98333,66.2,-18.86667,1,2.83,4.06,14.58,34.47
4310,2186,0.00121679206021,Qasigiannguit,Nuuk,GRL,GRL,68.81667,-51.18333,64.16667,-51.73333,5,1.06,1.37,33,32.31
5294,5066,6.97801425966e-05,Vardo,Harstad,NOR,NOR,70.38333,31.1,68.8,16.55,1,5.36,7,34.18,33.69
2272,8810,3.46703831026e-05,Nome,Gambell,USA,USA,64.51667,-165.41667,63.76667,-171.71667,2,1.37,1.74,29.75,31.89
4539,9404,0.00011523320998,Akutan,Cold Bay,USA,USA,54.13333,-165.75,55.18333,-162.7,1,5.9,5.91,32.1,31.57
5241,4364,0.236138699786,Murmansk,Kirkenes,RUS,NOR,68.96667,33.08333,69.73333,30.05,207,3.37,5.23,6.55,16.25
3469,3509,0.00614667188276,Hammerfest,North Cape,NOR,NOR,70.66667,23.66667,71.16667,25.76667,13,6.16,6.01,34.44,34.42
3235,2186,0.000580611098475,Ilulissat,Nuuk,GRL,GRL,69.21667,-51.1,64.16667,-51.73333,2,1.44,1.37,32.98,32.31
102,3781,0.000246538322094,Aasiaat,Kulusuk,GRL,GRL,68.71667,-52.88333,65.53333,-37.25,1,1.55,2.07,33.33,33.14
1659,2186,0.00331967194213,Maniitsoq,Nuuk,GRL,GRL,65.41667,-52.9,64.16667,-51.73333,12,1.42,1.37,32.9,32.31
1370,1142,0.000469406183704,Keflavik,Torshavn,ISL,FRO,64,-22.55,62,-6.75,1,7.53,8.39,34.59,35.17
1725,4317,9.27233458942e-05,Ballangen,Svolvaer,NOR,NOR,68.36667,16.93333,68.23333,14.56667,1,6.82,6.05,11.76,32.82
4706,464,0.000113014648865,Uummannaq,Sisimiut,GRL,GRL,70.68333,-52.13333,66.95,-53.68333,1,1.47,1.69,32.78,33.1
3621,1370,0.000199467451279,Grindavik,Keflavik,ISL,ISL,63.83333,-22.43333,64,-22.55,3,7.22,7.53,34.68,34.59
3469,5439,0.00137622953047,Hammerfest,Finnsnes,NOR,NOR,70.66667,23.66667,69.23333,17.96667,7,6.16,5.19,34.44,10.3
2654,4602,0.0214243073102,Reydharfjordur,Neskaupstadur,ISL,ISL,65.0333,-14.2167,65.15,-13.68333,20,6.015,4.59,34.471,34.3
102,4310,0.000754033526971,Aasiaat,Qasigiannguit,GRL,GRL,68.71667,-52.88333,68.81667,-51.18333,3,1.55,1.06,33.33,33
7900,8583,7.28297747814e-05,Skali,Toftir,FRO,FRO,62.15,-6.76667,62.08333,-6.71667,1,8.39,8.39,35.18,35.18
5610,4602,0.000406030051336,Straumsvik,Neskaupstadur,ISL,ISL,64.05,-22.05,65.15,-13.68333,3,7.39,4.59,34.7,34.3
3621,1563,0.000720480845978,Grindavik,Thorlakshofn,ISL,ISL,63.83333,-22.43333,63.85,-21.33333,7,7.22,5.96,34.68,34.84
