SourcePort,TargetPort,Risk,SourcePortName,TargetPortName,SourceCountry,TargetCountry,SourceLat,SourceLon,TargetLat,TargetLon,Freq,SourceTemp,TargetTemp,SourceSal,TargetSal
5007,5241,0.150315648,Rosyth,Murmansk,GBR,RUS,56.01667,-3.45,68.96667,33.08333,4,9.9,3.37,17.46,6.55
830,2812,0.150201696,Rotterdam,Kandalaksha,NLD,RUS,51.9,4.48333,67.13333,32.43333,13,11.4,3.09,1.78,21.66
938,3141,0.149721312,Europoort,Barentsburg,NLD,SJM,51.95,4.08333,78.08333,14.21667,6,11.41,1.7,31.75,33.98
5363,2812,0.146512858,Klaipeda,Kandalaksha,LTU,RUS,55.71667,21.13333,67.13333,32.43333,7,9.09,3.09,6.66,21.66
3020,5241,0.143000675,Kamsar,Murmansk,GIN,RUS,10.65,-14.61667,68.96667,33.08333,2,27.57,3.37,19.17,6.55
8092,5241,0.141604911,Santa Cruz de Tenerife,Murmansk,CNI,RUS,28.48333,-16.23333,68.96667,33.08333,4,20.72,3.37,36.75,6.55
693,2812,0.134404748,Porsgrunn,Kandalaksha,NOR,RUS,59.13333,9.65,67.13333,32.43333,6,7.63,3.09,8.71,21.66
830,2654,0.133130502,Rotterdam,Reydharfjordur,NLD,ISL,51.9,4.48333,65.0333,-14.2167,42,11.4,6.015,1.78,34.471
3381,6311,0.132855885,New Orleans,Red Dog,USA,USA,29.96667,-90.08333,67.58333,-164.05,2,22.26,0.36,0,30.12
1675,4729,0.13265609,Zeebrugge,Narvik,BEL,NOR,51.32306,3.21583,68.43333,17.43333,2,11.2,3.55,33.36,4.16
3083,5494,0.129874178,Fukuyama,Dutch Hbr.,JPN,USA,34.43333,133.45,53.9,-166.53333,1,16.87,5.94,32.12,32.51
3381,53,0.129717029,New Orleans,Grundartangi,USA,ISL,29.96667,-90.08333,64.35,-21.78333,20,22.26,5.13,0,24.33
3915,5241,0.129515488,Bilbao,Murmansk,ESP,RUS,43.31056,-3.02861,68.96667,33.08333,12,14.8,3.37,25.44,6.55
205,5241,0.127141823,Gothenburg,Murmansk,SWE,RUS,57.7,11.95,68.96667,33.08333,13,9.29,3.37,22.9,6.55
8092,4729,0.126942801,Santa Cruz de Tenerife,Narvik,CNI,NOR,28.48333,-16.23333,68.43333,17.43333,2,20.72,3.55,36.75,4.16
474,53,0.126774971,Ingleside,Grundartangi,USA,ISL,27.83333,-97.23333,64.35,-21.78333,5,23.22,5.13,34.09,24.33
2239,2654,0.126450328,Haugesund,Reydharfjordur,NOR,ISL,59.41667,5.26667,65.0333,-14.2167,13,9.22,6.015,26.52,34.471
8029,4729,0.125870332,Tilbury,Narvik,GBR,NOR,51.45,0.33333,68.43333,17.43333,3,11.86,3.55,11.17,4.16
1165,875,0.124781739,Singapore,Thorshofn,SGP,ISL,1.26667,103.83333,66.2,-15.33333,1,27.37,4.79,31.85,34.34
3356,53,0.123356072,Alumar,Grundartangi,BRA,ISL,-2.68333,-44.36667,64.35,-21.78333,4,27.71,5.13,18.96,24.33
4942,3960,0.122118344,Terneuzen,Dudinka,NLD,RUS,51.33333,3.81667,69.4,86.16667,5,12.1,0,14.36,0
2075,53,0.12012931,Port Kaiser,Grundartangi,JAM,ISL,17.88333,-77.6,64.35,-21.78333,5,26.47,5.13,26.35,24.33
3832,6311,0.118841087,Nagoya,Red Dog,JPN,USA,35.05,136.85,67.58333,-164.05,2,17.83,0.36,32.36,30.12
2762,2186,0.117284351,Aalborg,Nuuk,DNK,GRL,57.05,9.91667,64.16667,-51.73333,101,9.57,1.37,27.65,32.31
1891,4729,0.11708168,Misurata,Narvik,LBY,NOR,32.36667,15.23333,68.43333,17.43333,2,21.31,3.55,38.11,4.16
2145,2812,0.115981638,Tyne,Kandalaksha,GBR,RUS,55,-1.43333,67.13333,32.43333,5,9.62,3.09,34.46,21.66
4536,5241,0.11559371,Hadera,Murmansk,ISR,RUS,32.45,34.91667,68.96667,33.08333,2,21.54,3.37,38.9,6.55
3356,5610,0.115270946,Alumar,Straumsvik,BRA,ISL,-2.68333,-44.36667,64.05,-22.05,4,27.71,7.39,18.96,34.7
3052,2812,0.11475686,Aughinish Is.,Kandalaksha,IRL,RUS,52.63333,-9.05,67.13333,32.43333,6,11.76,3.09,7.64,21.66
2388,2654,0.114113104,Las Palmas,Reydharfjordur,CNI,ISL,28.13306,-15.43194,65.0333,-14.2167,2,20.5,6.015,36.64,34.471
4492,5241,0.111584945,London,Murmansk,GBR,RUS,51.5,-0.06667,68.96667,33.08333,10,12.22,3.37,2.15,6.55
4447,5241,0.111020935,Farsund,Murmansk,NOR,RUS,58.1,6.81667,68.96667,33.08333,6,8.86,3.37,16.6,6.55
1392,4729,0.11089324,Santa Marta,Narvik,COL,NOR,11.25,-74.21667,68.43333,17.43333,2,26.91,3.55,35.41,4.16
3326,5610,0.110148943,Vila do Conde,Straumsvik,BRA,ISL,-1.55,-48.75,64.05,-22.05,4,27.54,7.39,11.21,34.7
